timestamp_ms,EMG_Quad_mV,EMG_Ham_mV,EMG_Calf_mV,ACC_Quad_X_g,ACC_Quad_Y_g,ACC_Quad_Z_g,GYR_Quad_X_dps,GYR_Quad_Y_dps,GYR_Quad_Z_dps,Pitch_Quad_deg,Roll_Quad_deg,ACC_Ham_X_g,ACC_Ham_Y_g,ACC_Ham_Z_g,GYR_Ham_X_dps,GYR_Ham_Y_dps,GYR_Ham_Z_dps,Pitch_Ham_deg,Roll_Ham_deg,ACC_Calf_X_g,ACC_Calf_Y_g,ACC_Calf_Z_g,GYR_Calf_X_dps,GYR_Calf_Y_dps,GYR_Calf_Z_dps,Pitch_Calf_deg,Roll_Calf_deg,Angle_Quad_Ham_deg,Angle_Quad_Calf_deg,Angle_Ham_Calf_deg
899650,1401.39,1259.56,1340.95,0.0295,0.1589,1.1807,-2.849,-1.407,1.683,-1.26,6.83,0.2061,-0.6423,0.7930,2.665,-0.391,0.337,-11.11,-39.13,0.7188,0.0374,0.7214,0.369,-2.574,-0.255,-43.44,4.95,-0.00,-0.00,0.00
899666,1235.38,1079.05,1124.18,0.0508,0.1436,1.1848,-10.788,-0.354,1.424,-1.29,6.66,0.2031,-0.6128,0.7622,-2.084,0.388,2.398,-11.12,-39.15,0.6722,0.0824,0.6982,-1.540,2.097,-0.103,-43.41,4.96,-0.00,0.00,0.01
899681,1043.59,921.10,967.03,0.0347,0.1294,1.2046,-5.505,0.959,0.859,-1.28,6.57,0.1929,-0.6350,0.7480,-2.542,-0.039,2.199,-11.12,-39.21,0.6818,0.0900,0.7167,1.498,2.082,-2.072,-43.38,5.03,-0.01,0.01,0.01
899707,1744.69,1950.18,1894.58,0.0242,0.1467,1.1802,10.968,0.028,0.035,-1.28,6.85,0.1936,-0.6121,0.7864,3.138,-0.513,-0.335,-11.13,-39.11,0.6685,0.0643,0.7465,-0.257,0.647,3.729,-43.33,5.02,-0.01,0.01,0.02
899723,2025.93,2191.94,2140.37,0.0134,0.1624,1.1763,3.915,2.028,-0.026,-1.23,6.93,0.1848,-0.6257,0.7874,-1.381,0.174,1.298,-11.11,-39.12,0.6970,0.0287,0.7615,-0.105,-0.819,0.050,-43.33,4.96,-0.01,0.02,0.03
899738,2187.11,2243.52,2237.88,0.0200,0.1414,1.1790,-4.681,0.623,0.386,-1.22,6.86,0.1899,-0.6201,0.7644,-2.526,0.327,1.482,-11.11,-39.15,0.6665,0.0643,0.7389,-2.990,-1.979,1.012,-43.33,4.92,-0.02,0.02,0.04
899764,972.67,836.48,910.62,0.0364,0.1416,1.2009,-4.131,-2.934,1.683,-1.30,6.75,0.1890,-0.6357,0.7620,0.603,-0.497,0.276,-11.11,-39.15,0.7041,0.0679,0.6931,-0.914,-4.452,1.516,-43.48,4.91,-0.02,0.02,0.03
899779,904.98,871.14,875.97,0.0366,0.1367,1.2004,-5.139,-0.843,1.073,-1.32,6.67,0.2019,-0.6362,0.7776,3.016,-0.452,-0.289,-11.12,-39.11,0.7039,0.0657,0.6851,-0.410,0.784,1.378,-43.51,4.91,-0.01,0.01,0.03
909805,1387.69,1064.54,1173.33,0.0242,0.1072,1.1714,0.831,0.073,-2.042,-0.60,14.80,0.4849,-2.0000,-2.0000,288.955,-229.826,-56.274,-2269.08,2797.88,0.8558,-0.0151,0.5493,-0.792,-1.887,2.233,-62.33,-3.00,-6.92,-1.36,5.56
919830,3300.00,3300.00,3300.00,0.0298,0.0386,1.2385,-33.719,9.997,5.103,97.60,-316.73,0.1191,-0.5928,0.8301,-2.313,0.617,4.001,-2217.77,2718.49,0.8453,-0.0072,0.5511,-9.143,-8.880,-5.461,-149.46,-92.78,-16.62,9.59,1.02
